uid,cid,paused,skip_back,skip_forward,rate_change,watch_num
2020213220,2,1,0,0,4,4
2020213220,3,7,2,0,5,6
2020213220,4,0,0,0,3,3
2020213220,5,2,0,0,6,4
2020213220,6,0,0,0,1,1
2020213220,7,8,1,0,1,3
2020213220,10,6,5,0,1,2
2020213220,11,2,0,0,1,4
2020213220,12,2,1,0,2,1
2020213220,13,1,0,0,0,2
2020213700,1,1,0,0,0,1
2020213700,2,0,0,0,3,4
2020213700,3,0,0,0,3,4
2020213700,4,0,0,0,1,2
2020213700,5,0,0,0,1,2
2020213700,6,0,0,0,1,1
2020213700,7,0,0,0,0,3
2020213700,10,1,0,0,0,2
2020213700,11,1,0,0,0,2
2020213700,12,0,0,0,0,2
2020213700,13,0,1,1,0,2
2021211158,2,14,11,2,0,3
2021214131,2,0,0,0,3,3
2021214131,3,0,0,0,4,4
2021214131,4,1,1,2,2,3
2021214131,5,1,0,0,3,2
2021214131,6,0,0,0,1,1
2021214131,7,0,0,0,3,3
2021214131,10,2,0,0,1,4
2021214131,11,2,0,0,3,4
2021214131,12,5,3,1,2,3
2021214131,13,0,0,1,2,3
2021214132,1,0,0,0,0,1
2021214132,2,18,10,3,0,3
2021214132,3,0,1,0,2,3
2021214132,4,5,2,0,0,3
2021214132,5,2,2,1,9,2
2021214132,6,1,0,0,1,1
2021214132,7,2,1,0,1,4
2021214132,10,0,0,0,0,2
2021214132,11,0,0,0,0,3
2021214132,12,0,1,0,0,5
2021214132,13,0,1,0,0,2
2021214133,2,1,2,0,1,3
2021214133,3,5,1,0,2,5
2021214133,6,0,0,1,1,3
2021214133,7,0,0,0,1,4
2021214133,10,0,2,3,3,6
2021214133,11,3,1,1,1,4
2021214134,2,0,0,0,0,3
2021214134,3,1,2,2,6,4
2021214134,4,0,1,0,3,2
2021214134,5,0,0,0,2,2
2021214134,6,0,0,0,1,1
2021214134,7,1,1,2,1,3
2021214134,10,1,0,0,0,2
2021214134,11,0,1,0,0,2
2021214134,12,1,0,0,0,2
2021214134,13,2,0,0,0,2
2021214135,2,0,0,0,4,4
2021214135,3,0,0,0,5,4
2021214135,4,2,0,0,2,2
2021214135,5,0,0,0,2,3
2021214135,6,0,0,0,1,1
2021214135,7,0,0,0,3,3
2021214135,10,1,1,0,4,2
2021214135,11,0,0,0,1,4
2021214135,12,0,0,0,2,2
2021214135,13,1,0,1,1,3
2021214136,1,0,0,0,0,1
2021214136,2,2,2,1,5,5
2021214136,3,0,0,0,6,4
2021214136,4,0,0,0,2,2
2021214136,5,1,2,18,2,3
2021214136,6,0,0,0,0,1
2021214136,7,0,0,0,3,4
2021214136,10,0,0,0,2,5
2021214136,11,0,0,1,2,5
2021214136,12,0,0,1,2,4
2021214136,13,0,0,1,2,5
2021214138,2,11,6,1,0,2
2021214138,3,6,3,1,0,4
2021214138,4,2,0,1,0,2
2021214138,5,14,3,4,0,2
2021214138,6,8,1,0,0,1
2021214138,7,14,5,3,0,3
2021214138,10,3,0,0,0,1
2021214139,2,2,4,0,0,3
2021214139,3,0,0,0,4,4
2021214139,4,0,0,0,1,2
2021214139,5,0,0,0,0,2
2021214139,6,0,0,0,0,1
2021214139,7,0,0,0,0,3
2021214139,10,0,0,0,0,2
2021214139,12,0,0,0,0,2
2021214139,13,0,0,0,0,2
2021214140,2,0,0,0,3,4
2021214140,3,0,0,0,4,4
2021214140,4,0,0,0,2,2
2021214140,5,0,0,0,2,2
2021214140,6,0,0,0,1,1
2021214140,7,0,0,0,4,3
2021214141,1,0,0,0,0,1
2021214141,2,0,0,0,0,3
2021214141,3,6,1,0,0,6
2021214141,4,6,2,0,0,3
2021214141,5,6,0,1,0,2
2021214141,6,2,1,3,0,2
2021214141,7,5,1,3,0,4
2021214141,10,1,1,0,0,2
2021214141,11,2,0,0,0,2
2021214141,12,1,0,0,0,2
2021214142,2,0,0,0,3,3
2021214142,3,0,0,0,6,6
2021214142,4,0,0,0,0,2
2021214142,5,0,0,0,0,2
2021214142,6,1,3,0,0,2
2021214142,7,0,1,1,0,3
2021214142,10,0,0,0,0,2
2021214142,11,0,0,0,0,2
2021214142,12,1,0,0,0,2
2021214143,2,0,0,0,0,3
2021214143,3,0,0,0,0,4
2021214143,4,1,0,0,0,2
2021214143,5,0,0,0,0,2
2021214143,6,0,0,0,0,1
2021214143,7,0,0,0,0,4
2021214144,7,0,1,3,0,4
2021214144,10,0,0,2,0,6
2021214144,12,5,1,10,0,3
2021214145,2,0,0,0,3,3
2021214145,3,0,0,0,1,5
2021214145,4,0,0,0,0,2
2021214145,5,0,1,3,0,2
2021214145,6,0,0,0,0,1
2021214145,7,0,0,0,0,3
2021214145,10,0,0,0,0,2
2021214145,11,1,0,0,0,2
2021214145,12,0,0,0,0,1
2021214146,5,0,0,0,0,1
2021214147,2,0,0,0,3,3
2021214149,2,34,15,36,0,5
2021214149,3,2,0,2,0,4
2021214149,4,0,0,0,0,2
2021214149,5,0,0,1,0,2
2021214149,6,0,0,0,0,1
2021214149,7,0,1,3,0,4
2021214149,10,0,0,0,1,2
2021214149,11,0,0,0,1,2
2021214149,12,0,0,0,2,2
2021214149,13,0,0,0,0,3
2021214150,2,17,3,0,3,4
2021214150,3,1,0,1,4,5
2021214150,4,0,0,0,2,4
2021214150,5,0,0,0,2,4
2021214150,6,0,0,0,2,2
2021214150,7,0,0,0,3,3
2021214150,10,0,0,0,5,2
2021214150,11,0,0,0,2,2
2021214150,12,0,0,1,2,3
2021214150,13,0,0,0,2,2
2021214151,2,5,21,25,5,5
2021214151,3,0,0,1,4,10
2021214151,4,2,2,2,4,4
2021214151,5,0,0,0,2,3
2021214151,6,0,0,0,2,2
2021214151,7,0,0,3,2,5
2021214151,10,0,0,0,3,4
2021214151,11,0,0,0,5,6
2021214151,12,1,2,9,3,8
2021214151,13,0,0,0,5,5
2021214152,2,2,0,1,0,3
2021214152,3,0,0,0,2,6
2021214152,4,0,0,0,2,4
2021214152,5,0,0,0,2,4
2021214152,6,0,0,0,1,1
2021214152,7,0,0,0,0,3
2021214152,10,0,0,0,0,2
2021214152,11,0,0,0,0,2
2021214152,12,0,0,0,0,3
2021214152,13,0,0,0,0,2
2021214153,2,0,0,0,0,3
2021214153,3,1,0,0,0,5
2021214153,4,0,1,2,0,3
2021214153,5,1,1,3,0,2
2021214153,6,0,0,0,1,1
2021214153,7,0,0,1,2,3
2021214153,10,0,0,2,0,2
2021214153,11,0,0,0,2,2
2021214153,12,0,0,0,2,2
2021214153,13,0,0,0,2,2
2021214155,2,0,0,1,0,3
2021214155,3,1,0,0,4,4
2021214155,4,0,0,0,0,3
2021214155,5,0,0,0,0,2
2021214155,6,0,0,0,0,1
2021214155,7,2,0,0,0,7
2021214155,10,0,0,0,0,2
2021214155,11,0,0,0,0,2
2021214155,12,0,0,0,0,4
2021214155,13,2,0,0,0,2
2021214156,1,0,0,0,0,1
2021214156,2,0,0,0,0,4
2021214156,3,0,0,0,0,5
2021214156,4,0,0,0,0,2
2021214156,5,2,1,0,0,3
2021214156,6,4,3,1,0,1
2021214156,7,0,1,0,0,1
2021214157,2,24,15,4,0,3
2021214157,3,50,54,1,0,4
2021214157,4,13,10,0,0,3
2021214157,5,3,5,11,0,4
2021214157,6,6,6,3,0,1
2021214157,7,2,0,0,0,3
2021214157,10,3,2,0,0,2
2021214157,11,0,0,0,0,2
2021214157,12,0,0,0,0,2
2021214157,13,0,0,0,0,2
2021214158,2,4,10,0,3,5
2021214158,3,1,0,0,0,4
2021214158,4,2,2,0,0,4
2021214158,5,2,2,0,0,4
2021214158,6,0,0,0,0,1
2021214158,7,5,1,0,0,3
2021214158,10,0,0,1,0,5
2021214158,11,0,0,0,0,2
2021214158,12,0,0,0,0,2
2021214158,13,0,0,0,0,2
2021214159,2,5,10,6,0,3
2021214159,3,1,1,1,0,4
2021214159,4,0,0,0,2,2
2021214159,5,0,0,0,0,2
2021214159,6,0,0,0,0,1
2021214159,7,0,0,0,0,3
2021214159,10,0,0,0,0,2
2021214159,11,0,0,0,0,2
2021214159,12,1,0,0,0,2
2021214159,13,0,0,0,0,3
2021214160,1,0,0,0,0,1
2021214160,2,0,0,0,0,3
2021214160,3,1,3,1,0,4
2021214160,4,1,0,0,1,2
2021214160,5,2,0,0,2,3
2021214160,6,0,0,0,1,1
2021214160,7,0,0,0,3,3
2021214160,10,0,0,0,2,2
2021214160,11,2,1,1,4,3
2021214160,12,0,0,1,0,3
2021214160,13,0,0,0,2,2
2021214161,2,3,2,5,4,6
2021214161,3,0,0,0,1,6
2021214161,4,1,0,0,3,3
2021214161,5,1,0,0,1,3
2021214161,6,0,0,0,1,1
2021214161,7,0,1,1,1,3
2021214161,10,1,1,2,2,7
2021214161,11,0,0,1,2,6
2021214161,12,0,1,0,0,3
2021214161,13,0,0,0,2,3
2021214166,2,19,2,0,0,3
2021214166,3,6,2,0,0,4
2021214166,4,0,0,0,0,2
2021214166,5,0,0,0,0,3
2021214166,6,0,0,1,0,2
2021214166,7,0,0,0,0,3
2021214166,10,0,0,0,0,2
2021214166,11,0,0,0,0,2
2021214166,12,0,0,0,0,2
2021214166,13,0,0,0,0,2
2021214167,2,6,0,0,4,4
2021214167,3,2,0,2,0,6
2021214167,4,1,2,0,1,4
2021214167,5,3,3,1,0,3
2021214167,6,3,4,0,0,1
2021214167,7,2,1,0,0,3
2021214167,10,7,5,0,0,2
2021214167,11,0,0,0,0,2
2021214167,12,0,1,1,0,2
2021214167,13,0,3,2,0,2
2021214168,2,2,0,0,0,3
2021214168,3,0,0,0,0,4
2021214168,4,2,0,0,0,2
2021214168,5,0,0,0,0,4
2021214168,6,0,0,0,0,2
2021214168,7,0,0,0,0,3
2021214168,10,0,0,0,0,2
2021214168,11,0,0,0,0,3
2021214168,12,0,0,0,0,1
2021214168,13,1,0,0,0,2
2021214169,2,0,0,0,2,3
2021214169,3,2,2,1,0,4
2021214169,4,0,1,0,1,2
2021214169,5,0,0,0,2,2
2021214169,6,0,0,0,1,1
2021214169,7,0,0,0,3,3
2021214169,10,0,0,0,2,2
2021214169,11,0,0,0,3,3
2021214169,12,0,0,0,2,2
2021214169,13,0,0,0,2,2
2021214170,2,0,0,0,3,3
2021214170,3,2,2,0,9,4
2021214170,4,0,0,0,3,2
2021214170,5,0,0,0,2,2
2021214170,6,0,0,0,2,2
2021214170,10,0,0,1,4,2
2021214170,11,0,0,0,0,4
2021214170,12,0,0,0,0,2
2021214170,13,0,0,0,0,2
2021214171,2,0,0,0,4,5
2021214171,3,0,0,0,4,4
2021214171,4,0,0,0,0,2
2021214171,5,1,3,0,2,3
2021214171,6,0,0,0,1,1
2021214171,7,5,1,0,4,5
2021214171,10,1,1,5,0,5
2021214171,11,0,0,0,2,2
2021214171,12,0,0,0,4,3
2021214171,13,0,0,0,2,2
2021214172,1,0,0,0,0,1
2021214172,2,2,13,4,7,7
2021214172,3,0,2,1,7,14
2021214172,4,0,1,1,3,5
2021214172,5,2,1,0,1,6
2021214172,6,0,0,1,0,4
2021214172,7,0,0,3,1,7
2021214172,10,0,0,0,0,4
2021214172,11,0,0,2,0,5
2021214172,12,0,0,1,0,4
2021214172,13,0,0,0,0,4
2021214173,1,0,0,0,1,1
2021214173,2,0,0,0,1,4
2021214173,3,2,4,1,4,4
2021214173,4,4,0,0,0,2
2021214173,5,0,0,0,1,2
2021214173,6,0,0,0,1,1
2021214173,7,1,0,0,0,3
2021214173,10,1,0,0,0,3
2021214173,11,0,0,0,0,2
2021214173,12,0,0,0,0,2
2021214173,13,0,0,0,0,2
2021214175,1,0,0,0,1,1
2021214175,2,0,0,0,5,5
2021214175,3,1,1,0,8,4
2021214175,4,0,0,0,2,2
2021214175,5,0,0,0,2,2
2021214175,6,0,0,0,1,1
2021214175,7,0,0,0,3,3
2021214175,10,0,0,0,3,2
2021214175,11,0,0,0,0,2
2021214175,12,0,1,0,0,2
2021214175,13,2,0,0,0,2
2021214178,2,11,4,1,1,6
2021214178,3,13,6,2,2,4
2021214178,4,4,0,0,3,4
2021214178,5,7,5,6,1,4
2021214178,6,0,0,1,0,1
2021214178,7,0,0,0,2,5
2021214178,10,0,0,0,2,3
2021214178,11,0,0,0,0,3
2021214178,12,0,0,0,0,2
2021214178,13,0,0,0,0,2
2021214179,2,0,0,0,0,3
2021214179,3,1,0,0,0,4
2021214179,4,1,1,0,0,3
2021214179,5,6,0,0,0,2
2021214179,6,16,2,1,0,1
2021214179,7,0,0,2,0,3
2021214179,10,2,2,0,0,2
2021214179,11,8,0,0,0,2
2021214179,12,1,1,0,0,2
2021214179,13,1,3,0,0,2
2021214180,2,26,12,3,0,3
2021214180,3,7,10,0,12,5
2021214180,4,6,2,0,1,2
2021214180,5,1,0,0,1,2
2021214180,6,0,0,0,1,1
2021214180,7,12,5,0,0,4
2021214180,10,28,19,0,0,9
2021214180,11,9,5,0,0,11
2021214180,12,0,1,1,0,5
2021214180,13,9,16,1,0,6
2021214181,2,0,0,0,0,3
2021214181,3,2,16,12,0,4
2021214181,4,3,4,11,0,2
2021214181,5,2,2,5,0,2
2021214181,6,2,4,6,0,1
2021214181,7,3,2,2,0,3
2021214181,10,1,3,6,0,2
2021214181,11,0,2,2,0,3
2021214181,12,4,2,1,0,2
2021214181,13,0,0,10,0,3
2021214182,2,0,0,0,3,3
2021214182,3,0,1,1,5,5
2021214182,4,0,0,0,2,2
2021214182,5,0,0,0,3,3
2021214182,6,0,0,0,1,1
2021214182,7,0,0,0,3,4
2021214182,10,0,0,0,2,3
2021214182,11,0,0,0,4,4
2021214182,12,0,0,0,3,4
2021214182,13,0,0,0,3,4
2021214183,2,0,0,0,3,4
2021214183,3,2,0,0,0,6
2021214183,4,0,0,0,0,2
2021214183,5,0,0,0,0,2
2021214183,6,0,0,0,0,2
2021214183,7,0,3,1,0,5
2021214183,10,0,0,0,0,2
2021214183,11,0,0,0,0,2
2021214183,12,0,2,3,0,3
2021214183,13,0,0,0,0,2
2021214184,2,13,2,0,0,3
2021214184,3,5,2,0,0,4
2021214184,4,2,1,0,0,2
2021214184,5,3,1,2,0,2
2021214184,6,0,0,0,0,1
2021214184,7,6,3,0,0,3
2021214184,10,0,0,0,0,4
2021214184,11,1,1,0,0,2
2021214184,12,0,0,0,0,2
2021214184,13,0,0,0,0,3
2021214186,1,0,0,0,1,1
2021214186,2,0,0,0,2,3
2021214186,3,0,0,0,4,6
2021214186,4,0,0,0,2,2
2021214186,5,1,0,0,0,2
2021214186,6,23,2,1,0,1
2021214186,7,6,2,6,0,3
2021214186,10,0,0,0,0,2
2021214186,11,1,1,0,0,2
2021214186,12,0,0,0,0,2
2021214187,2,0,0,0,0,2
2021214187,3,0,0,3,0,5
2021214187,4,6,1,8,0,2
2021214187,5,1,0,0,0,2
2021214187,6,1,0,0,0,1
2021214187,7,17,0,0,1,5
2021214187,10,30,0,0,0,4
2021214187,11,15,0,8,0,2
2021214187,12,0,0,0,0,2
2021214187,13,0,0,0,0,2
2021214188,2,8,7,4,1,3
2021214188,3,2,6,0,0,4
2021214188,4,5,3,0,0,2
2021214188,5,4,2,0,0,2
2021214188,6,11,5,0,0,1
2021214188,7,0,3,0,0,3
2021214188,10,4,6,0,0,2
2021214188,11,0,0,0,0,2
2021214188,12,2,3,0,0,2
2021214188,13,0,1,0,0,2
2021214189,2,4,4,4,5,4
2021214189,3,0,0,0,5,4
2021214189,4,0,0,0,2,2
2021214189,5,0,0,0,2,2
2021214189,6,0,0,0,2,1
2021214189,7,0,0,0,3,4
2021214189,10,0,0,0,2,2
2021214189,11,0,0,0,2,2
2021214189,12,0,0,0,1,2
2021214190,1,0,0,0,0,1
2021214190,2,0,0,0,3,3
2021214190,3,0,0,0,5,4
2021214190,4,0,0,0,2,2
2021214190,5,0,0,0,3,2
2021214190,6,0,0,0,1,1
2021214190,7,1,0,0,1,3
2021214190,10,0,0,0,0,3
2021214190,11,0,0,0,0,2
2021214190,12,0,0,0,0,2
2021214190,13,0,0,0,0,2
2021214191,2,5,4,3,8,6
2021214191,3,0,0,0,4,4
2021214191,4,0,0,0,2,2
2021214191,5,0,0,0,2,2
2021214191,6,0,0,0,1,1
2021214191,7,0,0,0,3,3
2021214191,10,0,0,0,2,2
2021214191,11,0,0,0,7,2
2021214191,12,0,0,0,2,3
2021214191,13,0,0,1,2,4
2021214192,2,3,1,2,6,6
2021214192,3,0,0,1,3,4
2021214192,4,0,0,0,0,2
2021214192,5,0,0,0,0,2
2021214192,6,3,2,2,0,1
2021214192,7,0,0,0,0,3
2021214192,10,2,0,0,0,2
2021214192,11,2,0,0,0,2
2021214192,12,0,0,1,0,4
2021214192,13,0,0,0,0,2
2021214193,1,0,0,0,0,1
2021214193,2,0,0,0,3,3
2021214193,3,2,0,0,4,4
2021214193,4,0,0,0,2,2
2021214193,5,0,0,0,2,2
2021214193,6,0,0,0,1,1
2021214193,7,0,0,0,3,3
2021214193,10,0,0,0,0,2
2021214193,11,0,0,0,2,2
2021214193,12,0,0,0,2,4
2021214193,13,0,0,0,0,2
2021214194,2,9,12,5,0,4
2021214194,3,15,11,2,0,4
2021214194,4,8,2,2,0,2
2021214194,5,1,0,0,0,2
2021214194,6,1,0,0,0,1
2021214194,7,4,1,0,0,3
2021214194,10,2,0,24,0,9
2021214194,11,2,1,1,0,4
2021214194,12,0,0,0,0,2
2021214194,13,0,0,0,0,2
2021214195,2,0,0,0,3,3
2021214195,3,0,0,0,4,4
2021214195,4,1,0,0,2,3
2021214195,5,0,0,0,1,2
2021214195,6,0,0,0,1,1
2021214195,7,0,0,0,3,3
2021214392,2,0,0,0,5,4
2021214392,3,0,0,0,0,4
2021214392,4,1,0,2,0,2
2021214392,5,1,0,0,0,1
2021214392,6,0,0,0,0,1
2021214392,7,0,0,0,0,3
2021214392,10,0,0,0,0,2
2021214392,11,0,0,0,0,2
2021214392,12,0,0,0,0,5
2021214392,13,0,0,0,0,2
