"255","1","kakaki","B,C,B,C"," 1,2,"," 3,4,","2022/8/30 14:40:28","2022/8/30 14:40:34","00:00:06","50","2"
"256","1","test","A,B,A,C"," "," 1,2,3,4,","2022/9/2上午9:47:18","2022/9/2上午9:48:33","00:01:15","0","0"
"257","9","test","C,D,D,C"," "," 1,2,3,4,","2022/9/2上午10:23:12","2022/9/2上午10:23:16","00:00:04","0","0"
"258","2","test","C,C,C,B"," "," 1,2,3,4,","2022/9/4 22:27:30","2022/9/4 22:27:39","00:00:08","0","0"
"259","1","2020213313","B,B,C,D"," 1,3,4,"," 2,","2022/9/5 17:44:06","2022/9/5 17:46:21","00:02:14","75","3"
"260","1","2020213331","B,C,C,D"," 1,2,3,4,"," ","2022/9/8 下午2:37:41","2022/9/8 下午2:46:30","00:08:49","100","4"
"261","2","2020213331","D,B,B,C"," 2,3,4,"," 1,","2022/9/8 下午2:52:43","2022/9/8 下午2:55:18","00:02:34","75","3"
"262","3","2020213331","D,D,A,D"," 1,2,3,4,"," ","2022/9/8 下午3:06:27","2022/9/8 下午3:12:14","00:05:46","100","4"
"264","5","2020213331","D,C,A,B"," 1,2,4,"," 3,","2022/9/8 下午3:42:53","2022/9/8 下午3:48:36","00:05:43","75","3"
"265","1","2020213338","B,C,C,A"," 1,2,3,"," 4,","2022/9/9 22:26:11","2022/9/9 22:27:35","00:01:24","75","3"
"266","1","2020213335","B,C,C,D"," 1,2,3,4,"," ","2022/9/10 上午11:31:10","2022/9/10 上午11:32:27","00:01:17","100","4"
"267","1","2020213381","B,C,C,C"," 1,2,3,"," 4,","2022/9/11 11:07:42","2022/9/11 11:08:25","00:00:43","75","3"
"268","1","2020213353","B,C,C,A"," 1,2,3,"," 4,","2022/9/11 上午11:08:41","2022/9/11 上午11:15:56","00:07:15","75","3"
"269","1","2020213355","B,C,C,D"," 1,2,3,4,"," ","2022/9/11 上午11:12:34","2022/9/11 上午11:16:20","00:03:46","100","4"
"270","2","2020213381","A,B,B,A"," 1,2,3,"," 4,","2022/9/11 11:20:09","2022/9/11 11:20:45","00:00:35","75","3"
"271","2","2020213353","A,B,B,A"," 1,2,3,"," 4,","2022/9/11 上午11:26:39","2022/9/11 上午11:26:47","00:00:07","75","3"
"272","2","2020213355","A,B,B,C"," 1,2,3,4,"," ","2022/9/11 上午11:21:56","2022/9/11 上午11:27:07","00:05:10","100","4"
"273","3","2020213381","D,D,A,D"," 1,2,3,4,"," ","2022/9/11 11:34:11","2022/9/11 11:35:27","00:01:15","100","4"
"274","3","2020213355","D,D,A,D"," 1,2,3,4,"," ","2022/9/11 上午11:34:29","2022/9/11 上午11:45:09","00:10:39","100","4"
"275","3","2020213353","D,D,A,D"," 1,2,3,4,"," ","2022/9/11 上午11:44:24","2022/9/11 上午11:45:10","00:00:46","100","4"
"276","4","2020213353","A,B,B,D"," 1,2,3,"," 4,","2022/9/11 上午11:53:11","2022/9/11 上午11:53:20","00:00:08","75","3"
"277","4","2020213355","A,B,B,D"," 1,2,3,"," 4,","2022/9/11 上午11:49:51","2022/9/11 上午11:53:19","00:03:27","75","3"
"278","4","2020213381","A,B,B,C"," 1,2,3,4,"," ","2022/9/11 11:54:37","2022/9/11 11:55:16","00:00:39","100","4"
"279","5","2020213355","D,C,D,B"," 1,2,3,4,"," ","2022/9/11 下午12:06:56","2022/9/11 下午12:07:05","00:00:08","100","4"
"280","5","2020213353","D,C,D,B"," 1,2,3,4,"," ","2022/9/11 下午12:05:24","2022/9/11 下午12:07:07","00:01:42","100","4"
"281","5","2020213381","D,C,D,B"," 1,2,3,4,"," ","2022/9/11 12:06:56","2022/9/11 12:08:11","00:01:14","100","4"
"282","1","2020213322","B,C,C,D"," 1,2,3,4,"," ","2022/9/11 12:15:22","2022/9/11 12:16:24","00:01:00","100","4"
"283","2","2020213322","D,B,B,C"," 2,3,4,"," 1,","2022/9/11 12:26:21","2022/9/11 12:27:00","00:00:38","75","3"
"284","2","2020213335","A,B,B,A"," 1,2,3,"," 4,","2022/9/11 下午12:26:46","2022/9/11 下午12:28:54","00:02:08","75","3"
"285","3","2020213335","D,C,A,C"," 1,3,"," 2,4,","2022/9/11 下午12:47:19","2022/9/11 下午12:48:05","00:00:46","50","2"
"286","1","2020213241","B,D,C,D"," 1,3,4,"," 2,","2022/9/11 下午1:48:55","2022/9/11 下午1:57:06","00:08:10","75","3"
"287","4","2020213335","A,B,B,C"," 1,2,3,4,"," ","2022/9/11 下午2:01:07","2022/9/11 下午2:01:17","00:00:09","100","4"
"288","2","2020213241","A,B,B,C"," 1,2,3,4,"," ","2022/9/11 下午2:00:38","2022/9/11 下午2:03:53","00:03:15","100","4"
"289","3","2020213241","D,D,B,D"," 1,2,4,"," 3,","2022/9/11 下午2:10:36","2022/9/11 下午2:13:37","00:03:00","75","3"
"290","1","2020213352","B,C,A,D"," 1,2,4,"," 3,","2022/9/11 14:19:25","2022/9/11 14:20:25","00:00:59","75","3"
"291","2","2020213352","A,B,B,C"," 1,2,3,4,"," ","2022/9/11 14:27:02","2022/9/11 14:27:29","00:00:27","100","4"
"292","5","2020213335","D,C,D,B"," 1,2,3,4,"," ","2022/9/11 下午2:34:19","2022/9/11 下午2:36:26","00:02:07","100","4"
"293","3","2020213352","D,D,A,D"," 1,2,3,4,"," ","2022/9/11 14:36:30","2022/9/11 14:36:50","00:00:20","100","4"
"294","1","2020213327","B,D,C,A"," 1,3,"," 2,4,","2022/9/11 下午2:41:37","2022/9/11 下午2:50:13","00:08:36","50","2"
"295","4","2020213352","A,B,A,C"," 1,2,4,"," 3,","2022/9/11 14:58:35","2022/9/11 15:00:14","00:01:39","75","3"
"297","2","2020213327","A,B,D,A"," 1,2,"," 3,4,","2022/9/11 下午3:05:13","2022/9/11 下午3:06:55","00:01:42","50","2"
"298","3","2020213342","D,D,A,D"," 1,2,3,4,"," ","2022/9/11 15:17:53","2022/9/11 15:21:34","00:03:40","100","4"
"299","3","2020213327","D,D,A,D"," 1,2,3,4,"," ","2022/9/11 下午3:18:09","2022/9/11 下午3:23:44","00:05:35","100","4"
"300","5","2020213352","D,C,D,B"," 1,2,3,4,"," ","2022/9/11 15:21:39","2022/9/11 15:25:58","00:04:19","100","4"
"301","1","2020213308","B,C,C,D"," 1,2,3,4,"," ","2022/9/11 下午3:31:36","2022/9/11 下午3:33:29","00:01:52","100","4"
"302","4","2020213342","A,B,B,C"," 1,2,3,4,"," ","2022/9/11 15:29:01","2022/9/11 15:33:50","00:04:49","100","4"
"303","4","2020213241","A,B,B,C"," 1,2,3,4,"," ","2022/9/11 下午3:32:22","2022/9/11 下午3:34:06","00:01:43","100","4"
"304","1","2020213329","B,D,C,C"," 1,3,"," 2,4,","2022/9/11 15:32:07","2022/9/11 15:35:12","00:03:05","50","2"
"305","4","2020213327","B,A,B,C"," 3,4,"," 1,2,","2022/9/11 下午3:33:00","2022/9/11 下午3:38:53","00:05:52","50","2"
"306","1","2020213354","B,C,C,D"," 1,2,3,4,"," ","2022/9/11 15:39:36","2022/9/11 15:40:42","00:01:06","100","4"
"307","5","2020213241","D,C,D,B"," 1,2,3,4,"," ","2022/9/11 下午3:39:37","2022/9/11 下午3:42:11","00:02:33","100","4"
"308","1","2020213375","B,C,C,A"," 1,2,3,"," 4,","2022/9/11 下午3:39:51","2022/9/11 下午3:44:20","00:04:28","75","3"
"309","1","2020213344","B,D,C,D"," 1,3,4,"," 2,","2022/9/11 15:41:43","2022/9/11 15:46:48","00:05:04","75","3"
"310","2","2020213329","D,B,A,C"," 2,4,"," 1,3,","2022/9/11 15:40:34","2022/9/11 15:47:33","00:06:59","50","2"
"311","1","2020213380","B,D,C,D"," 1,3,4,"," 2,","2022/9/11 15:43:08","2022/9/11 15:48:51","00:05:42","75","3"
"312","2","2020213354","A,B,D,C"," 1,2,4,"," 3,","2022/9/11 15:53:48","2022/9/11 15:54:44","00:00:55","75","3"
"313","2","2020213375","A,B,B,C"," 1,2,3,4,"," ","2022/9/11 下午3:49:15","2022/9/11 下午3:54:20","00:05:04","100","4"
"314","5","2020213342","D,C,D,B"," 1,2,3,4,"," ","2022/9/11 15:47:27","2022/9/11 15:55:54","00:08:27","100","4"
"315","2","2020213308","A,B,B,C"," 1,2,3,4,"," ","2022/9/11 下午3:57:31","2022/9/11 下午3:58:15","00:00:44","100","4"
"316","5","2020213327","D,C,D,B"," 1,2,3,4,"," ","2022/9/11 下午3:53:41","2022/9/11 下午3:56:31","00:02:49","100","4"
"317","1","2020213342","B,C,C,D"," 1,2,3,4,"," ","2022/9/11 15:56:28","2022/9/11 15:57:18","00:00:49","100","4"
"318","2","2020213342","A,B,B,C"," 1,2,3,4,"," ","2022/9/11 15:57:46","2022/9/11 15:58:14","00:00:27","100","4"
"319","1","2020213343","B,C,C,D"," 1,2,3,4,"," ","2022/9/11 15:59:01","2022/9/11 16:00:00","00:00:58","100","4"
"320","3","2020213329","D,D,A,C"," 1,2,3,"," 4,","2022/9/11 15:55:10","2022/9/11 16:00:11","00:05:00","75","3"
"321","2","2020213380","A,B,B,A"," 1,2,3,"," 4,","2022/9/11 15:57:12","2022/9/11 16:02:31","00:04:01","75","3"
"322","1","2020213320","B,C,C,D"," 1,2,3,4,"," ","2022/9/11 15:59:32","2022/9/11 16:03:36","00:04:04","100","4"
"323","3","2020213375","D,D,A,B"," 1,2,3,"," 4,","2022/9/11 下午4:03:12","2022/9/11 下午4:06:43","00:03:31","75","3"
"324","2","2020213344","D,B,D,C"," 2,4,"," 1,3,","2022/9/11 15:57:13","2022/9/11 16:08:03","00:10:49","50","2"
"325","1","2020214470","B,C,C,D"," 1,2,3,4,"," ","2022/9/11 16:08:12","2022/9/11 16:08:33","00:00:20","100","4"
"326","2","2020213320","A,B,B,C"," 1,2,3,4,"," ","2022/9/11 16:09:07","2022/9/11 16:10:30","00:01:23","100","4"
"327","4","2020213329","B,A,B,C"," 3,4,"," 1,2,","2022/9/11 16:05:51","2022/9/11 16:11:46","00:05:54","50","2"
"328","3","2020213354","D,D,A,D"," 1,2,3,4,"," ","2022/9/11 16:10:45","2022/9/11 16:14:35","00:03:18","100","4"
"329","1","2020213345","B,C,C,D"," 1,2,3,4,"," ","2022/9/11 16:12:05","2022/9/11 16:16:11","00:04:06","100","4"
"330","3","2020213380","D,D,A,D"," 1,2,3,4,"," ","2022/9/11 16:12:39","2022/9/11 16:20:14","00:07:35","100","4"
"331","3","2020213344","B,A,A,C"," 3,"," 1,2,4,","2022/9/11 16:14:30","2022/9/11 16:20:46","00:06:16","25","1"
"332","3","2020213308","D,D,A,D"," 1,2,3,4,"," ","2022/9/11 下午4:22:58","2022/9/11 下午4:25:26","00:02:27","100","4"
"333","3","2020213320","D,D,A,C"," 1,2,3,"," 4,","2022/9/11 16:24:31","2022/9/11 16:25:31","00:01:00","75","3"
"334","2","2020213345","A,B,D,C"," 1,2,4,"," 3,","2022/9/11 16:21:31","2022/9/11 16:26:15","00:04:43","75","3"
"335","4","2020213354","A,B,B,C"," 1,2,3,4,"," ","2022/9/11 16:26:42","2022/9/11 16:27:04","00:00:21","100","4"
"336","5","2020213329","D,C,D,B"," 1,2,3,4,"," ","2022/9/11 16:22:17","2022/9/11 16:28:51","00:06:34","100","4"
"337","4","2020213380","A,B,B,C"," 1,2,3,4,"," ","2022/9/11 16:33:49","2022/9/11 16:34:51","00:01:02","100","4"
"338","4","2020213320","B,A,B,C"," 3,4,"," 1,2,","2022/9/11 16:36:46","2022/9/11 16:37:06","00:00:20","50","2"
"339","4","2020213375","A,B,B,C"," 1,2,3,4,"," ","2022/9/11 下午4:34:25","2022/9/11 下午4:37:00","00:02:34","100","4"
"340","4","2020213344","A,B,B,C"," 1,2,3,4,"," ","2022/9/11 16:31:20","2022/9/11 16:38:19","00:06:58","100","4"
"341","3","2020213345","D,D,A,D"," 1,2,3,4,"," ","2022/9/11 16:33:54","2022/9/11 16:39:19","00:05:25","100","4"
"342","5","2020213354","D,C,D,B"," 1,2,3,4,"," ","2022/9/11 16:44:21","2022/9/11 16:45:10","00:00:49","100","4"
"343","3","2020213336","D,D,A,D"," 1,2,3,4,"," ","2022/9/11 16:44:34","2022/9/11 16:47:03","00:02:29","100","4"
"344","5","2020213375","D,A,D,B"," 1,3,4,"," 2,","2022/9/11 下午4:42:34","2022/9/11 下午4:49:11","00:06:36","75","3"
"345","2","2020214470","A,B,B,C"," 1,2,3,4,"," ","2022/9/11 16:49:10","2022/9/11 16:50:02","00:00:52","100","4"
"346","4","2020213345","C,B,B,C"," 2,3,4,"," 1,","2022/9/11 16:44:47","2022/9/11 16:50:59","00:06:12","75","3"
"347","5","2020213344","D,C,D,B"," 1,2,3,4,"," ","2022/9/11 16:48:31","2022/9/11 16:53:21","00:04:50","100","4"
"348","5","2020213380","D,C,D,B"," 1,2,3,4,"," ","2022/9/11 16:49:47","2022/9/11 16:53:30","00:03:43","100","4"
"349","5","2020213320","D,C,D,B"," 1,2,3,4,"," ","2022/9/11 16:50:29","2022/9/11 16:53:46","00:03:17","100","4"
"350","4","2020213308","A,B,A,C"," 1,2,4,"," 3,","2022/9/11 下午4:56:21","2022/9/11 下午4:58:55","00:02:33","75","3"
"351","3","2020213322","D,D,A,D"," 1,2,3,4,"," ","2022/9/11 16:54:44","2022/9/11 17:03:40","00:08:49","100","4"
"352","4","2020213336","A,B,B,C"," 1,2,3,4,"," ","2022/9/11 17:07:44","2022/9/11 17:08:54","00:01:09","100","4"
"353","5","2020213345","D,C,D,B"," 1,2,3,4,"," ","2022/9/11 17:02:00","2022/9/11 17:09:17","00:07:17","100","4"
"354","5","2020213308","D,C,D,B"," 1,2,3,4,"," ","2022/9/11 下午5:37:13","2022/9/11 下午5:38:21","00:01:07","100","4"
"355","1","2020213392","B,C,C,D"," 1,2,3,4,"," ","2022/9/11 19:15:32","2022/9/11 19:25:57","00:10:24","100","4"
"356","2","2020213392","D,B,B,C"," 2,3,4,"," 1,","2022/9/11 19:33:00","2022/9/11 19:36:27","00:03:26","75","3"
"357","1","2020213323","B,C,C,D"," 1,2,3,4,"," ","2022/9/11 19:35:43","2022/9/11 19:36:46","00:01:02","100","4"
"358","2","2020213323","A,B,B,A"," 1,2,3,"," 4,","2022/9/11 19:42:34","2022/9/11 19:43:16","00:00:41","75","3"
"359","3","2020213392","D,D,B,D"," 1,2,4,"," 3,","2022/9/11 19:43:53","2022/9/11 19:53:10","00:09:16","75","3"
"360","2","2020213313","A,B,B,C"," 1,2,3,4,"," ","2022/9/11 20:02:21","2022/9/11 20:02:30","00:00:09","100","4"
"361","3","2020213323","D,D,A,D"," 1,2,3,4,"," ","2022/9/11 19:55:35","2022/9/11 20:04:42","00:09:07","100","4"
"362","4","2020213392","A,B,B,C"," 1,2,3,4,"," ","2022/9/11 19:59:13","2022/9/11 20:08:27","00:09:14","100","4"
"363","1","2020213348","B,C,C,D"," 1,2,3,4,"," ","2022/9/11 20:11:28","2022/9/11 20:12:18","00:00:50","100","4"
"364","4","2020213323","A,B,B,C"," 1,2,3,4,"," ","2022/9/11 20:14:13","2022/9/11 20:16:40","00:02:27","100","4"
"365","5","2020213392","D,C,D,B"," 1,2,3,4,"," ","2022/9/11 20:15:19","2022/9/11 20:17:26","00:02:06","100","4"
"366","4","2020213322","B,A,B,C"," 3,4,"," 1,2,","2022/9/11 20:20:07","2022/9/11 20:21:17","00:01:09","50","2"
"367","1","2020213336","B,C,C,D"," 1,2,3,4,"," ","2022/9/11 20:23:29","2022/9/11 20:24:40","00:01:10","100","4"
"368","5","2020213323","D,C,D,B"," 1,2,3,4,"," ","2022/9/11 20:27:07","2022/9/11 20:27:35","00:00:28","100","4"
"369","2","2020213336","D,B,B,A"," 2,3,"," 1,4,","2022/9/11 20:25:19","2022/9/11 20:28:10","00:02:50","50","2"
"370","2","2020213348","A,B,B,C"," 1,2,3,4,"," ","2022/9/11 20:30:52","2022/9/11 20:31:30","00:00:37","100","4"
"371","1","2020213337","B,C,C,D"," 1,2,3,4,"," ","2022/9/11 20:32:50","2022/9/11 20:34:57","00:01:34","100","4"
"372","5","2020213322","D,C,D,B"," 1,2,3,4,"," ","2022/9/11 20:33:46","2022/9/11 20:35:42","00:01:53","100","4"
"373","1","2020213312","B,C,C,D"," 1,2,3,4,"," ","2022/9/11 20:39:19","2022/9/11 20:41:15","00:01:56","100","4"
"374","2","2020213337","A,B,B,C"," 1,2,3,4,"," ","2022/9/11 20:43:35","2022/9/11 20:44:53","00:01:17","100","4"
"375","3","2020213337","D,D,A,C"," 1,2,3,"," 4,","2022/9/11 20:52:31","2022/9/11 20:56:06","00:03:35","75","3"
"376","5","2020213336","D,C,D,B"," 1,2,3,4,"," ","2022/9/11 21:10:43","2022/9/11 21:11:28","00:00:44","100","4"
"377","1","2020213369","B,C,C,C"," 1,2,3,"," 4,","2022/9/11 下午9:09:01","2022/9/11 下午9:12:48","00:03:47","75","3"
"378","2","2020213369","D,B,B,C"," 2,3,4,"," 1,","2022/9/11 下午9:18:11","2022/9/11 下午9:21:13","00:03:02","75","3"
"379","4","2020213337","A,B,B,C"," 1,2,3,4,"," ","2022/9/11 21:21:27","2022/9/11 21:24:36","00:03:08","100","4"
"380","3","2020213348","D,D,B,D"," 1,2,4,"," 3,","2022/9/11 21:12:00","2022/9/11 21:25:43","00:12:14","75","3"
"381","1","2020213328","B,C,C,D"," 1,2,3,4,"," ","2022/9/11 21:22:57","2022/9/11 21:32:45","00:09:48","100","4"
"382","5","2020213337","D,C,D,B"," 1,2,3,4,"," ","2022/9/11 21:37:18","2022/9/11 21:37:35","00:00:17","100","4"
"383","3","2020213369","D,D,A,C"," 1,2,3,"," 4,","2022/9/11 下午9:33:37","2022/9/11 下午9:38:36","00:04:59","75","3"
"384","2","2020213312","A,B,B,C"," 1,2,3,4,"," ","2022/9/11 21:41:36","2022/9/11 21:42:36","00:00:59","100","4"
"385","4","2020213369","A,B,A,C"," 1,2,4,"," 3,","2022/9/11 下午9:49:17","2022/9/11 下午9:52:26","00:03:09","75","3"
"386","2","2020213328","D,B,D,C"," 2,4,"," 1,3,","2022/9/11 21:51:50","2022/9/11 21:56:23","00:04:33","50","2"
"387","4","2020213348","A,B,B,C"," 1,2,3,4,"," ","2022/9/11 22:02:02","2022/9/11 22:02:45","00:00:43","100","4"
"388","5","2020213369","D,C,D,B"," 1,2,3,4,"," ","2022/9/11 下午10:05:08","2022/9/11 下午10:06:28","00:01:17","100","4"
"389","5","2020213348","D,C,D,B"," 1,2,3,4,"," ","2022/9/11 22:21:18","2022/9/11 22:21:38","00:00:19","100","4"
"390","2","2020213343","A,B,B,C"," 1,2,3,4,"," ","2022/9/11 22:25:31","2022/9/11 22:25:40","00:00:08","100","4"
"391","3","2020213312","D,D,A,D"," 1,2,3,4,"," ","2022/9/11 22:32:23","2022/9/11 22:33:23","00:00:59","100","4"
"392","3","2020213328","D,D,A,D"," 1,2,3,4,"," ","2022/9/11 22:31:22","2022/9/11 22:38:00","00:06:37","100","4"
"393","4","2020213328","A,B,B,C"," 1,2,3,4,"," ","2022/9/11 22:42:54","2022/9/11 22:44:37","00:01:43","100","4"
"394","4","2020213312","A,B,B,C"," 1,2,3,4,"," ","2022/9/11 22:45:20","2022/9/11 22:45:25","00:00:05","100","4"
"395","5","2020213328","D,C,A,D"," 1,2,"," 3,4,","2022/9/11 22:51:58","2022/9/11 22:53:10","00:01:11","50","2"
"396","5","2020213312","D,C,D,B"," 1,2,3,4,"," ","2022/9/11 22:58:34","2022/9/11 22:58:40","00:00:06","100","4"
"397","3","2020213343","D,D,A,B"," 1,2,3,"," 4,","2022/9/11 23:06:30","2022/9/11 23:08:44","00:02:14","75","3"
"398","1","2020213330","B,A,B,C"," 1,"," 2,3,4,","2022/9/11 23:08:48","2022/9/11 23:09:58","00:01:09","25","1"
"399","2","2020213330","A,B,D,C"," 1,2,4,"," 3,","2022/9/11 23:13:45","2022/9/11 23:15:31","00:01:46","75","3"
"400","3","2020214470","D,D,A,D"," 1,2,3,4,"," ","2022/9/11 23:13:21","2022/9/11 23:16:52","00:03:28","100","4"
"401","4","2020213343","B,A,B,C"," 3,4,"," 1,2,","2022/9/11 23:18:45","2022/9/11 23:20:31","00:01:45","50","2"
"402","3","2020213330","D,D,B,D"," 1,2,4,"," 3,","2022/9/11 23:28:04","2022/9/11 23:31:16","00:03:12","75","3"
"403","5","2020213343","D,C,D,B"," 1,2,3,4,"," ","2022/9/11 23:38:44","2022/9/11 23:42:06","00:03:22","100","4"
"404","3","2020213313","D,D,B,D"," 1,2,4,"," 3,","2022/9/11 23:39:29","2022/9/11 23:42:34","00:03:04","75","3"
"405","4","2020214470","B,A,B,C"," 3,4,"," 1,2,","2022/9/11 23:40:22","2022/9/11 23:42:56","00:02:32","50","2"
"406","4","2020213330","B,A,B,C"," 3,4,"," 1,2,","2022/9/11 23:43:47","2022/9/11 23:44:19","00:00:31","50","2"
"407","4","2020213313","B,A,B,D"," 3,"," 1,2,4,","2022/9/11 23:48:12","2022/9/11 23:51:08","00:02:56","25","1"
"408","5","2020214470","D,C,D,B"," 1,2,3,4,"," ","2022/9/11 23:52:25","2022/9/11 23:53:16","00:00:49","100","4"
"409","5","2020213313","D,C,D,B"," 1,2,3,4,"," ","2022/9/11 23:52:49","2022/9/11 23:58:04","00:05:15","100","4"
"410","5","2020213330","D,C,C,B"," 1,2,4,"," 3,","2022/9/11 23:58:40","2022/9/12 00:00:08","00:01:28","75","3"
"411","1","2020213341","B,C,C,D"," 1,2,3,4,"," ","2022/9/12 00:09:29","2022/9/12 00:13:50","00:04:10","100","4"
"412","1","2020213326","B,C,C,D"," 1,2,3,4,"," ","2022/9/12 09:06:02","2022/9/12 09:09:47","00:03:45","100","4"
"413","2","2020213326","A,B,B,C"," 1,2,3,4,"," ","2022/9/12 09:15:53","2022/9/12 09:23:02","00:07:08","100","4"
"414","3","2020213326","D,D,A,D"," 1,2,3,4,"," ","2022/9/12 09:30:12","2022/9/12 09:39:14","00:09:02","100","4"
"415","2","2020213338","A,B,B,C"," 1,2,3,4,"," ","2022/9/12 09:44:09","2022/9/12 09:44:57","00:00:48","100","4"
"416","2","2020213341","A,B,B,C"," 1,2,3,4,"," ","2022/9/12 10:36:24","2022/9/12 10:36:37","00:00:12","100","4"
"417","1","2020213347","B,C,C,D"," 1,2,3,4,"," ","2022/9/12 10:40:22","2022/9/12 10:41:41","00:01:19","100","4"
"418","2","2020213347","A,B,B,A"," 1,2,3,"," 4,","2022/9/12 11:07:59","2022/9/12 11:09:22","00:01:23","75","3"
"419","1","2020213316","B,C,C,D"," 1,2,3,4,"," ","2022/9/12 11:31:44","2022/9/12 11:33:23","00:01:39","100","4"
"420","3","2020213347","D,D,A,C"," 1,2,3,"," 4,","2022/9/12 11:36:45","2022/9/12 11:40:31","00:03:46","75","3"
"421","4","2020213347","A,B,B,C"," 1,2,3,4,"," ","2022/9/12 12:21:44","2022/9/12 12:22:48","00:01:03","100","4"
"422","1","2020213318","B,C,C,D"," 1,2,3,4,"," ","2022/9/12 12:37:15","2022/9/12 12:39:29","00:02:13","100","4"
"423","3","2020213341","D,D,B,D"," 1,2,4,"," 3,","2022/9/12 12:43:20","2022/9/12 12:46:31","00:03:05","75","3"
"424","5","2020213347","D,C,C,C"," 1,2,"," 3,4,","2022/9/12 12:46:28","2022/9/12 12:48:30","00:02:01","50","2"
"425","4","2020213326","B,A,A,D"," "," 1,2,3,4,","2022/9/12 12:50:10","2022/9/12 12:54:41","00:04:30","0","0"
"426","2","2020213318","C,B,B,A"," 2,3,"," 1,4,","2022/9/12 13:12:02","2022/9/12 13:13:44","00:01:42","50","2"
"427","3","2020213318","D,D,A,C"," 1,2,3,"," 4,","2022/9/12 13:21:42","2022/9/12 13:24:26","00:02:44","75","3"
"428","4","2020213341","A,B,B,C"," 1,2,3,4,"," ","2022/9/12 13:24:43","2022/9/12 13:25:02","00:00:17","100","4"
"429","5","2020213341","D,C,D,B"," 1,2,3,4,"," ","2022/9/12 13:27:37","2022/9/12 13:30:00","00:02:18","100","4"
"430","4","2020213318","A,B,B,C"," 1,2,3,4,"," ","2022/9/12 13:31:18","2022/9/12 13:32:00","00:00:42","100","4"
"431","5","2020213318","D,C,D,B"," 1,2,3,4,"," ","2022/9/12 13:41:44","2022/9/12 13:43:54","00:01:44","100","4"
"432","3","2020213338","D,D,A,D"," 1,2,3,4,"," ","2022/9/17 09:36:01","2022/9/17 09:37:24","00:01:23","100","4"
"433","4","2020213338","A,B,B,C"," 1,2,3,4,"," ","2022/9/17 09:55:36","2022/9/17 09:55:59","00:00:23","100","4"
"434","5","2020213338","D,C,D,B"," 1,2,3,4,"," ","2022/9/17 10:20:23","2022/9/17 10:21:41","00:01:18","100","4"
"435","2","2020213316","D,B,A,C"," 2,4,"," 1,3,","2022/9/19 09:09:21","2022/9/19 09:17:54","00:08:33","50","2"
"436","5","2020213326","D,C,D,B"," 1,2,3,4,"," ","2022/9/25 23:47:40","2022/9/25 23:52:57","00:05:16","100","4"
"437","6","2020213342","B,C,B,A"," 1,2,3,4,"," ","2022/10/11 22:55:23","2022/10/11 22:59:24","00:04:00","100","4"
"438","7","2020213342","B,C,D,B"," 1,2,3,4,"," ","2022/10/11 23:08:38","2022/10/11 23:13:56","00:05:17","100","4"
"439","8","2020213342","B,A,C,D"," 2,3,4,"," 1,","2022/10/12 14:48:47","2022/10/12 14:52:40","00:03:53","75","3"
"440","6","2020213312","B,C,B,A"," 1,2,3,4,"," ","2022/10/14 11:03:03","2022/10/14 11:07:05","00:04:02","100","4"
"441","7","2020213312","B,B,C,A"," 1,"," 2,3,4,","2022/10/14 11:28:30","2022/10/14 11:31:25","00:02:55","25","1"
"442","8","2020213312","A,A,C,D"," 1,2,3,4,"," ","2022/10/14 11:45:37","2022/10/14 11:46:35","00:00:57","100","4"
"443","6","2020213327","B,D,B,A"," 1,3,4,"," 2,","2022/10/29 上午10:55:01","2022/10/29 上午10:57:20","00:02:19","75","3"
"444","7","2020213327","B,B,D,B"," 1,3,4,"," 2,","2022/10/29 上午11:25:17","2022/10/29 上午11:36:20","00:11:03","75","3"
"445","6","2020213344","B,C,B,A"," 1,2,3,4,"," ","2022/10/29 15:15:42","2022/10/29 15:24:41","00:08:58","100","4"
"446","7","2020213344","B,B,D,A"," 1,3,"," 2,4,","2022/10/29 15:36:45","2022/10/29 15:47:13","00:10:27","50","2"
"447","8","2020213344","A,A,C,D"," 1,2,3,4,"," ","2022/10/29 15:56:33","2022/10/29 16:02:02","00:05:28","100","4"
"448","9","2020213344","B,A,C,C"," 1,2,3,"," 4,","2022/10/29 16:12:37","2022/10/29 16:15:31","00:02:53","75","3"
